Variety,Quantity,Usage,Period
Nethra Palam,3428,Make single use plastic alternatives,January-December
Sini Kesel,4746,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Nadee,758,Make organic fertilizers,January-December
Ambum,609,Make single use plastic alternatives,November-January
Green Banana,1115,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Nethra Palam,3429,Make jam and sugary products to the local market,January-December
Anamalu,4512,Make bioplastics,November-January
Kolikuttu,1263,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kolikuttu,980,dehydrated banana chips,January-December
Ambul Nadee,382,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Seeni Parakum,542,Make tea bags and filters,January-December
Rath Kesel,250,Make banana oils are used in cosmatic industry,January-December
Puwalu,2759,cosmetic industry- Make haircare treatments with banana extracts,November-January
Puwalu,4759,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Anamalu,3262,Make jam and sugary products to the local market,January-December
Ambum,2598,Brewing and distilling industry- Make banana beer,January-December
Puwalu,592,Food industry-desserts varieties,January-December
Sini Kesel,1759,Banana flavored craft beers,November-January
Rath Kesel,1483,Banana flavored craft beers,November-January
Sini Kesel,3399,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambum,3251,Make jam and sugary products to the local market,January-December
Rath Kesel,4227,Make banana oils are used in cosmatic industry,November-January
Nethra Palam,1342,Banana chocolates and sweets,November-January
Seeni Parakum,1077,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Kesel,4528,make banana silk which is eco friendly and biodegradable,January-December
Kandula,592,Banana chocolates and sweets,January-December
Ambul Kesel,4548,Banana candies,January-December
Nethra Palam,3184,Make breakfast cereals,November-January
Nethra Palam,53,Banana chocolates and sweets,January-December
Nethra Palam,708,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Sini Kesel,3273,Textile industry- make banana fibers,January-December
Anamalu,4196,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Puwalu,2455,Banana chocolates and sweets,November-January
Kolikuttu,4866,Make banana oils are used in cosmatic industry,January-December
Kolikuttu,1417,Make bioplastics,November-January
Rath Kesel,511,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Seeni Parakum,1876,Banana chocolates and sweets,January-December
Kandula,3231,make banana silk which is eco friendly and biodegradable,January-December
Kolikuttu,4378,Bakery industry- Banana breads and banana cakes,January-December
Green Banana,1056,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Ambul Kesel,3815,Make bioplastics,January-December
Puwalu,1194,Give CBL to make Waffers Biscuits,November-January
Kandula,2410,Make jam and sugary products to the local market,November-January
Seeni Parakum,268,Make single use plastic alternatives,January-December
Kolikuttu,3579,dehydrated banana chips,November-January
Anamalu,1879,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Seeni Parakum,2936,Banana chocolates and sweets,January-December
Kolikuttu,540,Make natural remedies,January-December
Seeni Parakum,2854,Bakery industry- Banana breads and banana cakes,November-January
Ambum,940,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,270,Make jam and sugary products to the local market,January-December
Rath Kesel,3893,Banana chocolates and sweets,November-January
Rath Kesel,1126,Make breakfast cereals,November-January
Ambul Kesel,4417,Make innorganic fertilizers,January-December
Ambum,4417,Make bioplastics,January-December
Kolikuttu,857,Banana chocolates and sweets,November-January
Anamalu,1763,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,926,Make banana oils are used in cosmatic industry,November-January
Nethra Palam,3182,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Green Banana,1865,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,3000,Export to USA as fresh banana,January-December
Sini Kesel,2193,Make high quality acid free paper from banana stems and leaves,January-December
Kandula,282,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,3077,Give CBL to make Waffers Biscuits,November-January
Ambul Kesel,735,Food industry-desserts varieties,November-January
Sini Kesel,2293,Make high quality acid free paper from banana stems and leaves,November-January
Seeni Parakum,2950,Make banana oils are used in cosmatic industry,November-January
Suwandal,3716,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Nethra Palam,3191,Make bioplastics,January-December
Green Banana,3636,Give CBL to make Waffers Biscuits,November-January
Sini Kesel,2998,Make single use plastic alternatives,January-December
Green Banana,4770,Make jam and sugary products to the local market,January-December
Seeni Parakum,2924,Banana flavored craft beers,January-December
Ambul Nadee,1999,Make innorganic fertilizers,November-January
Ambul Nadee,2283,Food industry-desserts varieties,November-January
Kolikuttu,3458,Banana flavored craft beers,January-December
Ambul Nadee,3718,Make jam and sugary products to the local market,January-December
Kolikuttu,2136,Banana chocolates and sweets,January-December
Ambul Kesel,2818,Textile industry- make banana fibers,November-January
Ambum,171,Make tea bags and filters,January-December
Green Banana,1606,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kolikuttu,3354,Make tea bags and filters,November-January
Puwalu,3024,Food industry-desserts varieties,November-January
Green Banana,3590,Bakery industry- Banana breads and banana cakes,January-December
Puwalu,1691,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,3552,Make banana oils are used in cosmatic industry,November-January
Ambul Kesel,4980,dehydrated banana chips,January-December
Kolikuttu,2551,Banana flavored craft beers,November-January
Green Banana,3117,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambum,3089,dehydrated banana chips,January-December
Puwalu,3246,dehydrated banana chips,November-January
Suwandal,589,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambum,1050,Make tea bags and filters,November-January
Rath Kesel,1440,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Nadee,1600,Banana chocolates and sweets,January-December
Seeni Parakum,4440,Make banana oils are used in cosmatic industry,January-December
Nethra Palam,856,Export to USA as fresh banana,November-January
Kolikuttu,1392,make banana silk which is eco friendly and biodegradable,November-January
Seeni Parakum,3608,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Sini Kesel,695,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Anamalu,2245,Give CBL to make Waffers Biscuits,January-December
Seeni Parakum,4697,make banana silk which is eco friendly and biodegradable,November-January
Ambul Kesel,2528,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambum,4487,make banana silk which is eco friendly and biodegradable,January-December
Nethra Palam,539,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,1411,Make tea bags and filters,January-December
Ambum,2624,dehydrated banana chips,January-December
Puwalu,4061,Make single use plastic alternatives,November-January
Kolikuttu,4670,dehydrated banana chips,November-January
Green Banana,2886,Banana flavored craft beers,January-December
Suwandal,3407,Banana flavored craft beers,November-January
Kandula,3151,Make breakfast cereals,January-December
Ambul Kesel,421,Export to USA as fresh banana,January-December
Nethra Palam,4291,Food industry-desserts varieties,November-January
Rath Kesel,2304,Banana candies,January-December
Kolikuttu,366,Make natural remedies,November-January
Nethra Palam,3931,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Puwalu,2530,make banana silk which is eco friendly and biodegradable,January-December
Ambum,1187,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Kandula,3845,dehydrated banana chips,November-January
Kolikuttu,3794,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Puwalu,4135,Make jam and sugary products to the local market,November-January
Nethra Palam,3304,Banana chocolates and sweets,January-December
Suwandal,1974,Make breakfast cereals,January-December
Ambum,4255,Make breakfast cereals,January-December
Rath Kesel,2933,Make bioplastics,November-January
Sini Kesel,3611,Make breakfast cereals,November-January
Ambum,3454,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,4692,Make single use plastic alternatives,November-January
Ambum,1169,Make breakfast cereals,November-January
Green Banana,4086,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,270,Banana chocolates and sweets,November-January
Kandula,763,Make tea bags and filters,November-January
Rath Kesel,3585,cosmetic industry- Make haircare treatments with banana extracts,January-December
Nethra Palam,1386,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,2357,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Kandula,1575,Export to USA as fresh banana,November-January
Anamalu,4171,Banana flavored craft beers,January-December
Ambul Nadee,2999,Brewing and distilling industry- Make banana beer,November-January
Ambum,4247,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambum,2591,Make organic fertilizers,January-December
Kolikuttu,1758,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Sini Kesel,1453,dehydrated banana chips,January-December
Seeni Parakum,3533,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambum,2563,Banana chocolates and sweets,January-December
Nethra Palam,4754,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,4498,Make organic fertilizers,November-January
Ambul Kesel,3865,Make tea bags and filters,January-December
Rath Kesel,3642,Make jam and sugary products to the local market,November-January
Green Banana,52,Make single use plastic alternatives,January-December
Kandula,2975,Textile industry- make banana fibers,January-December
Ambul Kesel,4767,Bakery industry- Banana breads and banana cakes,January-December
Seeni Parakum,1658,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,2031,Make single use plastic alternatives,November-January
Seeni Parakum,2918,Make bioplastics,January-December
Kolikuttu,2929,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Suwandal,4907,Make tea bags and filters,January-December
Rath Kesel,371,Make natural remedies,November-January
Nethra Palam,2112,Make natural remedies,January-December
Seeni Parakum,4009,Make innorganic fertilizers,November-January
Nethra Palam,1132,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Sini Kesel,4508,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Suwandal,1340,dehydrated banana chips,November-January
Kandula,1440,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Sini Kesel,888,Export to USA as fresh banana,November-January
Rath Kesel,1894,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Nadee,3229,Make innorganic fertilizers,November-January
Sini Kesel,4749,Textile industry- make banana fibers,January-December
Sini Kesel,198,Brewing and distilling industry- Make banana beer,January-December
Ambul Kesel,1324,Make breakfast cereals,January-December
Anamalu,4387,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Kesel,4830,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Puwalu,3494,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Rath Kesel,408,Make tea bags and filters,November-January
Ambul Kesel,4766,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Nethra Palam,2938,Banana chocolates and sweets,January-December
Ambul Kesel,2442,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Sini Kesel,3564,Make banana oils are used in cosmatic industry,January-December
Suwandal,2663,Make tea bags and filters,January-December
Rath Kesel,4129,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Rath Kesel,3096,Make bioplastics,January-December
Green Banana,1284,Export to USA as fresh banana,January-December
Sini Kesel,4730,Textile industry- make banana fibers,November-January
Kolikuttu,3875,Make jam and sugary products to the local market,January-December
Seeni Parakum,3589,make banana silk which is eco friendly and biodegradable,January-December
Puwalu,4325,Make single use plastic alternatives,November-January
Suwandal,2181,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Kandula,4153,Make single use plastic alternatives,November-January
Suwandal,1056,Banana flavored craft beers,November-January
Seeni Parakum,916,Make bioplastics,November-January
Kandula,453,Banana chocolates and sweets,January-December
Rath Kesel,1626,Make jam and sugary products to the local market,November-January
Rath Kesel,2004,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambul Nadee,1385,Banana chips ( both sweetened and unsweetened),November-January
Kandula,2318,Make breakfast cereals,January-December
Kolikuttu,4900,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Puwalu,519,Make innorganic fertilizers,January-December
Seeni Parakum,1943,Make natural remedies,November-January
Kandula,4122,Make tea bags and filters,January-December
Kolikuttu,1265,Make high quality acid free paper from banana stems and leaves,November-January
Nethra Palam,2776,cosmetic industry- Make haircare treatments with banana extracts,January-December
Anamalu,4488,dehydrated banana chips,January-December
Seeni Parakum,3877,Brewing and distilling industry- Make banana beer,November-January
Suwandal,4526,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,4050,dehydrated banana chips,November-January
Ambum,768,Make tea bags and filters,November-January
Sini Kesel,2419,Make single use plastic alternatives,January-December
Puwalu,3281,Give CBL to make Waffers Biscuits,January-December
Suwandal,3752,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,1632,Bakery industry- Banana breads and banana cakes,November-January
Rath Kesel,1775,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Nethra Palam,2994,Food industry-desserts varieties,January-December
Suwandal,4531,make banana silk which is eco friendly and biodegradable,November-January
Kolikuttu,1547,Brewing and distilling industry- Make banana beer,November-January
Seeni Parakum,1285,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambul Nadee,1450,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,3257,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kolikuttu,4713,Textile industry- make banana fibers,January-December
Green Banana,1998,Banana candies,January-December
Kolikuttu,268,Make organic fertilizers,January-December
Puwalu,1219,Bakery industry- Banana breads and banana cakes,November-January
Rath Kesel,936,Make organic fertilizers,November-January
Ambul Kesel,475,Make banana oils are used in cosmatic industry,January-December
Ambul Nadee,1085,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Nethra Palam,1885,Make innorganic fertilizers,January-December
Green Banana,4601,Banana candies,January-December
Suwandal,4762,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Kandula,2276,Make high quality acid free paper from banana stems and leaves,November-January
Ambul Kesel,4217,Make jam and sugary products to the local market,November-January
Rath Kesel,1937,cosmetic industry- Make haircare treatments with banana extracts,January-December
Rath Kesel,3509,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Nadee,944,Make breakfast cereals,January-December
Seeni Parakum,4058,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kandula,2970,Banana flavored craft beers,November-January
Rath Kesel,1026,Brewing and distilling industry- Make banana beer,January-December
Ambul Kesel,2012,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,3092,cosmetic industry- Make haircare treatments with banana extracts,November-January
Kolikuttu,4289,Make organic fertilizers,January-December
Rath Kesel,720,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Sini Kesel,2029,Make banana oils are used in cosmatic industry,November-January
Ambul Kesel,1464,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Kandula,1111,Make organic fertilizers,January-December
Seeni Parakum,3554,Make breakfast cereals,January-December
Sini Kesel,4045,Export to USA as fresh banana,January-December
Puwalu,1158,Make tea bags and filters,January-December
Green Banana,4680,Make organic fertilizers,January-December
Anamalu,1078,Food industry-desserts varieties,November-January
Green Banana,3331,cosmetic industry- Make haircare treatments with banana extracts,November-January
Nethra Palam,3504,Food industry-desserts varieties,November-January
Kandula,309,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kandula,168,make banana silk which is eco friendly and biodegradable,January-December
Rath Kesel,4613,Banana chocolates and sweets,January-December
Sini Kesel,4802,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Nadee,3098,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,953,Bakery industry- Banana breads and banana cakes,January-December
Kandula,4045,Banana chocolates and sweets,January-December
Sini Kesel,2957,Make tea bags and filters,November-January
Ambum,281,make banana silk which is eco friendly and biodegradable,January-December
Sini Kesel,474,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Seeni Parakum,87,Textile industry- make banana fibers,January-December
Kolikuttu,3295,Banana flavored craft beers,November-January
Kolikuttu,519,Export to USA as fresh banana,November-January
Ambul Kesel,3870,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambum,3610,cosmetic industry- Make haircare treatments with banana extracts,November-January
Green Banana,2190,Banana chips ( both sweetened and unsweetened),November-January
Kolikuttu,1870,Banana flavored craft beers,November-January
Kandula,2202,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kandula,1542,Make bioplastics,November-January
Sini Kesel,3866,Make banana oils are used in cosmatic industry,January-December
Ambul Nadee,2875,cosmetic industry- Make haircare treatments with banana extracts,November-January
Suwandal,767,Make tea bags and filters,November-January
Puwalu,444,Banana flavored craft beers,January-December
Sini Kesel,4721,Food industry-desserts varieties,January-December
Ambum,4289,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Kolikuttu,878,Make breakfast cereals,November-January
Green Banana,720,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambul Kesel,3454,Textile industry- make banana fibers,January-December
Suwandal,2582,Brewing and distilling industry- Make banana beer,November-January
Rath Kesel,1392,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Rath Kesel,4183,Make single use plastic alternatives,November-January
Ambul Kesel,3993,Make breakfast cereals,November-January
Ambum,764,Food industry-desserts varieties,November-January
Suwandal,1816,Export to USA as fresh banana,January-December
Ambum,4188,Give CBL to make Waffers Biscuits,November-January
Ambum,2983,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Kolikuttu,936,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Sini Kesel,464,Make jam and sugary products to the local market,January-December
Puwalu,2910,Banana chips ( both sweetened and unsweetened),November-January
Ambum,1415,Make bioplastics,January-December
Ambul Kesel,2349,Food industry-desserts varieties,January-December
Kolikuttu,3108,Make tea bags and filters,November-January
Suwandal,176,Make organic fertilizers,November-January
Kolikuttu,2427,Make banana oils are used in cosmatic industry,January-December
Ambum,275,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,4539,make banana silk which is eco friendly and biodegradable,January-December
Ambum,4656,Make bioplastics,January-December
Kolikuttu,1848,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,1340,Banana flavored craft beers,January-December
Puwalu,465,Export to USA as fresh banana,November-January
Seeni Parakum,2978,Bakery industry- Banana breads and banana cakes,January-December
Anamalu,1845,Bakery industry- Banana breads and banana cakes,November-January
Ambum,521,Make breakfast cereals,November-January
Ambul Nadee,2096,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,4931,Make jam and sugary products to the local market,November-January
Puwalu,2429,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,2314,Banana flavored craft beers,November-January
Ambum,994,Make jam and sugary products to the local market,November-January
Rath Kesel,3905,Make natural remedies,November-January
Ambul Kesel,928,Make tea bags and filters,November-January
Anamalu,2512,Make breakfast cereals,November-January
Nethra Palam,2905,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Kesel,4709,Banana chocolates and sweets,January-December
Sini Kesel,1168,Banana candies,January-December
Puwalu,876,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Suwandal,1869,Food industry-desserts varieties,January-December
Ambul Kesel,4315,Brewing and distilling industry- Make banana beer,November-January
Puwalu,576,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Nadee,2824,Banana flavored craft beers,January-December
Suwandal,1806,Banana flavored craft beers,January-December
Seeni Parakum,3275,make banana silk which is eco friendly and biodegradable,November-January
Green Banana,4819,Make organic fertilizers,November-January
Ambul Kesel,1218,Textile industry- make banana fibers,January-December
Kandula,3519,Make banana oils are used in cosmatic industry,November-January
Seeni Parakum,4482,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,203,Brewing and distilling industry- Make banana beer,November-January
Rath Kesel,1467,Make tea bags and filters,January-December
Nethra Palam,3667,Give CBL to make Waffers Biscuits,November-January
Sini Kesel,4627,Banana chocolates and sweets,November-January
Puwalu,2457,Food industry-desserts varieties,January-December
Sini Kesel,4029,Make bioplastics,November-January
Kandula,2514,dehydrated banana chips,November-January
Nethra Palam,2777,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Green Banana,3327,Make high quality acid free paper from banana stems and leaves,November-January
Suwandal,3960,Make jam and sugary products to the local market,January-December
Sini Kesel,874,Bakery industry- Banana breads and banana cakes,January-December
Kolikuttu,1555,make banana silk which is eco friendly and biodegradable,January-December
Suwandal,718,Make natural remedies,January-December
Puwalu,798,make banana silk which is eco friendly and biodegradable,November-January
Seeni Parakum,4158,Food industry-desserts varieties,November-January
Green Banana,1496,cosmetic industry- Make haircare treatments with banana extracts,January-December
Anamalu,4245,Banana flavored craft beers,January-December
Anamalu,3254,Make natural remedies,November-January
Rath Kesel,3057,dehydrated banana chips,November-January
Kolikuttu,2300,Export to USA as fresh banana,November-January
Ambum,3874,Banana flavored craft beers,November-January
Anamalu,3030,Banana chips ( both sweetened and unsweetened),November-January
Green Banana,71,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Sini Kesel,2391,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Rath Kesel,2284,make banana silk which is eco friendly and biodegradable,January-December
Ambul Kesel,2025,Brewing and distilling industry- Make banana beer,January-December
Rath Kesel,409,Make single use plastic alternatives,January-December
Green Banana,818,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Green Banana,1606,Make breakfast cereals,November-January
Suwandal,1605,make banana silk which is eco friendly and biodegradable,November-January
Kolikuttu,2877,Give CBL to make Waffers Biscuits,January-December
Green Banana,4428,Give CBL to make Waffers Biscuits,November-January
Green Banana,489,Banana candies,November-January
Ambum,140,Make tea bags and filters,January-December
Ambul Kesel,2218,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambul Nadee,4904,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Seeni Parakum,194,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kandula,2622,Give CBL to make Waffers Biscuits,January-December
Seeni Parakum,1735,Export to USA as fresh banana,November-January
Ambum,3453,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Green Banana,2020,Give CBL to make Waffers Biscuits,November-January
Nethra Palam,2635,Make jam and sugary products to the local market,January-December
Anamalu,3621,Brewing and distilling industry- Make banana beer,November-January
Suwandal,2774,Banana flavored craft beers,November-January
Ambul Nadee,1890,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Kesel,2150,Make organic fertilizers,November-January
Seeni Parakum,4351,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Seeni Parakum,4570,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,2411,make banana silk which is eco friendly and biodegradable,November-January
Kandula,1938,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Rath Kesel,1723,dehydrated banana chips,January-December
Kandula,3478,dehydrated banana chips,January-December
Nethra Palam,1495,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Kesel,2900,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Nethra Palam,4230,Food industry-desserts varieties,January-December
Green Banana,3939,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Nethra Palam,3707,Make breakfast cereals,January-December
Ambum,1018,Make tea bags and filters,November-January
Puwalu,2108,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambum,3948,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,739,Make jam and sugary products to the local market,November-January
Seeni Parakum,4341,Banana candies,January-December
Suwandal,199,Bakery industry- Banana breads and banana cakes,November-January
Green Banana,4536,dehydrated banana chips,November-January
Seeni Parakum,1060,Banana candies,November-January
Seeni Parakum,2885,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kandula,796,Make high quality acid free paper from banana stems and leaves,January-December
Rath Kesel,196,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Kesel,4663,Make innorganic fertilizers,November-January
Kandula,2447,Make jam and sugary products to the local market,January-December
Sini Kesel,2397,Export to USA as fresh banana,November-January
Kolikuttu,1336,Bakery industry- Banana breads and banana cakes,November-January
Nethra Palam,3492,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Sini Kesel,1016,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,3284,Brewing and distilling industry- Make banana beer,January-December
Rath Kesel,4670,Make innorganic fertilizers,November-January
Ambum,2884,Make single use plastic alternatives,November-January
Sini Kesel,1023,Make bioplastics,January-December
Seeni Parakum,4302,Make innorganic fertilizers,November-January
Ambum,3424,Give CBL to make Waffers Biscuits,November-January
Ambul Kesel,3349,make banana silk which is eco friendly and biodegradable,January-December
Kolikuttu,1685,Bakery industry- Banana breads and banana cakes,January-December
Sini Kesel,616,Banana chocolates and sweets,January-December
Ambul Nadee,3526,Food industry-desserts varieties,January-December
Puwalu,2652,Make breakfast cereals,November-January
Suwandal,2899,Give CBL to make Waffers Biscuits,January-December
Nethra Palam,4493,dehydrated banana chips,November-January
Rath Kesel,2463,Banana flavored craft beers,January-December
Ambum,2427,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Nethra Palam,1605,make banana silk which is eco friendly and biodegradable,January-December
Seeni Parakum,1433,Make single use plastic alternatives,November-January
Anamalu,2342,Textile industry- make banana fibers,November-January
Puwalu,4757,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambum,2830,Make jam and sugary products to the local market,November-January
Seeni Parakum,65,cosmetic industry- Make haircare treatments with banana extracts,January-December
Green Banana,489,cosmetic industry- Make haircare treatments with banana extracts,January-December
Nethra Palam,1529,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Rath Kesel,3013,Banana flavored craft beers,November-January
Seeni Parakum,2206,Make organic fertilizers,November-January
Sini Kesel,3125,Banana chips ( both sweetened and unsweetened),January-December
Ambul Nadee,2007,Make high quality acid free paper from banana stems and leaves,November-January
Sini Kesel,1013,Make high quality acid free paper from banana stems and leaves,November-January
Green Banana,127,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Kesel,4033,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Ambul Nadee,3327,Make bioplastics,January-December
Nethra Palam,85,Make banana oils are used in cosmatic industry,November-January
Anamalu,176,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,1357,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Sini Kesel,3257,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,815,Bakery industry- Banana breads and banana cakes,November-January
Kandula,2372,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Kesel,3569,Export to USA as fresh banana,November-January
Ambul Kesel,677,Make bioplastics,January-December
Rath Kesel,799,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Sini Kesel,2903,dehydrated banana chips,January-December
Ambum,4073,Bakery industry- Banana breads and banana cakes,January-December
Suwandal,4904,Banana flavored craft beers,November-January
Rath Kesel,2819,cosmetic industry- Make haircare treatments with banana extracts,January-December
Nethra Palam,3345,Banana chips ( both sweetened and unsweetened),January-December
Green Banana,399,cosmetic industry- Make haircare treatments with banana extracts,November-January
Anamalu,934,make banana silk which is eco friendly and biodegradable,November-January
Rath Kesel,2567,cosmetic industry- Make haircare treatments with banana extracts,November-January
Kandula,2780,Make innorganic fertilizers,January-December
Rath Kesel,824,Make natural remedies,November-January
